config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
0,2,32,2,16kB,2,512kB,0.886552
1,2,32,2,16kB,2,1MB,0.886552
2,2,32,2,16kB,2,2MB,0.886552
3,2,32,2,16kB,4,512kB,0.886728
4,2,32,2,16kB,4,1MB,0.886728
5,2,32,2,16kB,4,2MB,0.886728
6,2,32,2,16kB,8,512kB,0.886728
7,2,32,2,16kB,8,1MB,0.886728
8,2,32,2,16kB,8,2MB,0.886728
9,2,32,2,32kB,2,512kB,0.886728
10,2,32,2,32kB,2,1MB,0.886728
11,2,32,2,32kB,2,2MB,0.886728
12,2,32,2,32kB,4,512kB,0.886728
13,2,32,2,32kB,4,1MB,0.886728
14,2,32,2,32kB,4,2MB,0.886728
15,2,32,2,32kB,8,512kB,0.886728
16,2,32,2,32kB,8,1MB,0.886728
17,2,32,2,32kB,8,2MB,0.886728
18,2,32,2,64kB,2,512kB,0.886805
19,2,32,2,64kB,2,1MB,0.886805
20,2,32,2,64kB,2,2MB,0.886805
21,2,32,2,64kB,4,512kB,0.886805
22,2,32,2,64kB,4,1MB,0.886805
23,2,32,2,64kB,4,2MB,0.886805
24,2,32,2,64kB,8,512kB,0.886805
25,2,32,2,64kB,8,1MB,0.886805
26,2,32,2,64kB,8,2MB,0.886805
27,2,32,4,16kB,2,512kB,0.886728
28,2,32,4,16kB,2,1MB,0.886728
29,2,32,4,16kB,2,2MB,0.886728
30,2,32,4,16kB,4,512kB,0.886964
31,2,32,4,16kB,4,1MB,0.886964
32,2,32,4,16kB,4,2MB,0.886964
33,2,32,4,16kB,8,512kB,0.886964
34,2,32,4,16kB,8,1MB,0.886964
35,2,32,4,16kB,8,2MB,0.886964
36,2,32,4,32kB,2,512kB,0.886964
37,2,32,4,32kB,2,1MB,0.886964
38,2,32,4,32kB,2,2MB,0.886964
39,2,32,4,32kB,4,512kB,0.886964
40,2,32,4,32kB,4,1MB,0.886964
41,2,32,4,32kB,4,2MB,0.886964
42,2,32,4,32kB,8,512kB,0.886964
43,2,32,4,32kB,8,1MB,0.886964
44,2,32,4,32kB,8,2MB,0.886964
45,2,32,4,64kB,2,512kB,0.8871
46,2,32,4,64kB,2,1MB,0.8871
47,2,32,4,64kB,2,2MB,0.8871
48,2,32,4,64kB,4,512kB,0.8871
49,2,32,4,64kB,4,1MB,0.8871
50,2,32,4,64kB,4,2MB,0.8871
51,2,32,4,64kB,8,512kB,0.8871
52,2,32,4,64kB,8,1MB,0.8871
53,2,32,4,64kB,8,2MB,0.8871
54,2,32,8,16kB,2,512kB,0.886728
55,2,32,8,16kB,2,1MB,0.886728
56,2,32,8,16kB,2,2MB,0.886728
57,2,32,8,16kB,4,512kB,0.886964
58,2,32,8,16kB,4,1MB,0.886964
59,2,32,8,16kB,4,2MB,0.886964
60,2,32,8,16kB,8,512kB,0.886964
61,2,32,8,16kB,8,1MB,0.886964
62,2,32,8,16kB,8,2MB,0.886964
63,2,32,8,32kB,2,512kB,0.886964
64,2,32,8,32kB,2,1MB,0.886964
65,2,32,8,32kB,2,2MB,0.886964
66,2,32,8,32kB,4,512kB,0.886964
67,2,32,8,32kB,4,1MB,0.886964
68,2,32,8,32kB,4,2MB,0.886964
69,2,32,8,32kB,8,512kB,0.886964
70,2,32,8,32kB,8,1MB,0.886964
71,2,32,8,32kB,8,2MB,0.886964
72,2,32,8,64kB,2,512kB,0.8871
73,2,32,8,64kB,2,1MB,0.8871
74,2,32,8,64kB,2,2MB,0.8871
75,2,32,8,64kB,4,512kB,0.8871
76,2,32,8,64kB,4,1MB,0.8871
77,2,32,8,64kB,4,2MB,0.8871
78,2,32,8,64kB,8,512kB,0.8871
79,2,32,8,64kB,8,1MB,0.8871
80,2,32,8,64kB,8,2MB,0.8871
81,2,64,2,16kB,2,512kB,0.880377
82,2,64,2,16kB,2,1MB,0.880377
83,2,64,2,16kB,2,2MB,0.880377
84,2,64,2,16kB,4,512kB,0.880377
85,2,64,2,16kB,4,1MB,0.880377
86,2,64,2,16kB,4,2MB,0.880377
87,2,64,2,16kB,8,512kB,0.880377
88,2,64,2,16kB,8,1MB,0.880377
89,2,64,2,16kB,8,2MB,0.880377
90,2,64,2,32kB,2,512kB,0.880377
91,2,64,2,32kB,2,1MB,0.880377
92,2,64,2,32kB,2,2MB,0.880377
93,2,64,2,32kB,4,512kB,0.880377
94,2,64,2,32kB,4,1MB,0.880377
95,2,64,2,32kB,4,2MB,0.880377
96,2,64,2,32kB,8,512kB,0.880377
97,2,64,2,32kB,8,1MB,0.880377
98,2,64,2,32kB,8,2MB,0.880377
99,2,64,2,64kB,2,512kB,0.880482
100,2,64,2,64kB,2,1MB,0.880482
101,2,64,2,64kB,2,2MB,0.880482
102,2,64,2,64kB,4,512kB,0.880482
103,2,64,2,64kB,4,1MB,0.880482
104,2,64,2,64kB,4,2MB,0.880482
105,2,64,2,64kB,8,512kB,0.880482
106,2,64,2,64kB,8,1MB,0.880482
107,2,64,2,64kB,8,2MB,0.880482
108,2,64,4,16kB,2,512kB,0.880453
109,2,64,4,16kB,2,1MB,0.880453
110,2,64,4,16kB,2,2MB,0.880453
111,2,64,4,16kB,4,512kB,0.880501
112,2,64,4,16kB,4,1MB,0.880501
113,2,64,4,16kB,4,2MB,0.880501
114,2,64,4,16kB,8,512kB,0.880501
115,2,64,4,16kB,8,1MB,0.880501
116,2,64,4,16kB,8,2MB,0.880501
117,2,64,4,32kB,2,512kB,0.880501
118,2,64,4,32kB,2,1MB,0.880501
119,2,64,4,32kB,2,2MB,0.880501
120,2,64,4,32kB,4,512kB,0.8805
121,2,64,4,32kB,4,1MB,0.8805
122,2,64,4,32kB,4,2MB,0.8805
123,2,64,4,32kB,8,512kB,0.880501
124,2,64,4,32kB,8,1MB,0.880501
125,2,64,4,32kB,8,2MB,0.880501
126,2,64,4,64kB,2,512kB,0.880558
127,2,64,4,64kB,2,1MB,0.880558
128,2,64,4,64kB,2,2MB,0.880558
129,2,64,4,64kB,4,512kB,0.880558
130,2,64,4,64kB,4,1MB,0.880558
131,2,64,4,64kB,4,2MB,0.880558
132,2,64,4,64kB,8,512kB,0.880558
133,2,64,4,64kB,8,1MB,0.880558
134,2,64,4,64kB,8,2MB,0.880558
135,2,64,8,16kB,2,512kB,0.880453
136,2,64,8,16kB,2,1MB,0.880453
137,2,64,8,16kB,2,2MB,0.880453
138,2,64,8,16kB,4,512kB,0.880501
139,2,64,8,16kB,4,1MB,0.880501
140,2,64,8,16kB,4,2MB,0.880501
141,2,64,8,16kB,8,512kB,0.880501
142,2,64,8,16kB,8,1MB,0.880501
143,2,64,8,16kB,8,2MB,0.880501
144,2,64,8,32kB,2,512kB,0.880501
145,2,64,8,32kB,2,1MB,0.880501
146,2,64,8,32kB,2,2MB,0.880501
147,2,64,8,32kB,4,512kB,0.8805
148,2,64,8,32kB,4,1MB,0.8805
149,2,64,8,32kB,4,2MB,0.8805
150,2,64,8,32kB,8,512kB,0.880501
151,2,64,8,32kB,8,1MB,0.880501
152,2,64,8,32kB,8,2MB,0.880501
153,2,64,8,64kB,2,512kB,0.880558
154,2,64,8,64kB,2,1MB,0.880558
155,2,64,8,64kB,2,2MB,0.880558
156,2,64,8,64kB,4,512kB,0.880558
157,2,64,8,64kB,4,1MB,0.880558
158,2,64,8,64kB,4,2MB,0.880558
159,2,64,8,64kB,8,512kB,0.880558
160,2,64,8,64kB,8,1MB,0.880558
161,2,64,8,64kB,8,2MB,0.880558
162,2,128,2,16kB,2,512kB,0.864732
163,2,128,2,16kB,2,1MB,0.864732
164,2,128,2,16kB,2,2MB,0.864732
165,2,128,2,16kB,4,512kB,0.864736
166,2,128,2,16kB,4,1MB,0.864736
167,2,128,2,16kB,4,2MB,0.864736
168,2,128,2,16kB,8,512kB,0.864736
169,2,128,2,16kB,8,1MB,0.864736
