config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
0,2,32,2,16kB,2,512kB,0.52373
1,2,32,2,16kB,2,1MB,0.569712
2,2,32,2,16kB,2,2MB,0.620885
3,2,32,2,16kB,4,512kB,0.523238
4,2,32,2,16kB,4,1MB,0.569863
5,2,32,2,16kB,4,2MB,0.620996
6,2,32,2,16kB,8,512kB,0.523182
7,2,32,2,16kB,8,1MB,0.569741
8,2,32,2,16kB,8,2MB,0.620996
9,2,32,2,32kB,2,512kB,0.524976
10,2,32,2,32kB,2,1MB,0.571645
11,2,32,2,32kB,2,2MB,0.620996
12,2,32,2,32kB,4,512kB,0.524633
13,2,32,2,32kB,4,1MB,0.571124
14,2,32,2,32kB,4,2MB,0.620996
15,2,32,2,32kB,8,512kB,0.523818
16,2,32,2,32kB,8,1MB,0.570638
17,2,32,2,32kB,8,2MB,0.620996
18,2,32,2,64kB,2,512kB,0.528222
19,2,32,2,64kB,2,1MB,0.57426
20,2,32,2,64kB,2,2MB,0.620996
21,2,32,2,64kB,4,512kB,0.527794
22,2,32,2,64kB,4,1MB,0.57381
23,2,32,2,64kB,4,2MB,0.620996
24,2,32,2,64kB,8,512kB,0.526738
25,2,32,2,64kB,8,1MB,0.572525
26,2,32,2,64kB,8,2MB,0.621048
27,2,32,4,16kB,2,512kB,0.559413
28,2,32,4,16kB,2,1MB,0.58741
29,2,32,4,16kB,2,2MB,0.628043
30,2,32,4,16kB,4,512kB,0.560081
31,2,32,4,16kB,4,1MB,0.587079
32,2,32,4,16kB,4,2MB,0.628059
33,2,32,4,16kB,8,512kB,0.560015
34,2,32,4,16kB,8,1MB,0.587101
35,2,32,4,16kB,8,2MB,0.628059
36,2,32,4,32kB,2,512kB,0.560885
37,2,32,4,32kB,2,1MB,0.588447
38,2,32,4,32kB,2,2MB,0.628059
39,2,32,4,32kB,4,512kB,0.560723
40,2,32,4,32kB,4,1MB,0.588137
41,2,32,4,32kB,4,2MB,0.628059
42,2,32,4,32kB,8,512kB,0.560453
43,2,32,4,32kB,8,1MB,0.588181
44,2,32,4,32kB,8,2MB,0.628059
45,2,32,4,64kB,2,512kB,0.563066
46,2,32,4,64kB,2,1MB,0.58967
47,2,32,4,64kB,2,2MB,0.628081
48,2,32,4,64kB,4,512kB,0.562779
49,2,32,4,64kB,4,1MB,0.589428
50,2,32,4,64kB,4,2MB,0.628079
51,2,32,4,64kB,8,512kB,0.562265
52,2,32,4,64kB,8,1MB,0.589191
53,2,32,4,64kB,8,2MB,0.628108
54,2,32,8,16kB,2,512kB,0.568058
55,2,32,8,16kB,2,1MB,0.587602
56,2,32,8,16kB,2,2MB,0.628471
57,2,32,8,16kB,4,512kB,0.569425
58,2,32,8,16kB,4,1MB,0.587079
59,2,32,8,16kB,4,2MB,0.628508
60,2,32,8,16kB,8,512kB,0.56856
61,2,32,8,16kB,8,1MB,0.587101
62,2,32,8,16kB,8,2MB,0.628508
63,2,32,8,32kB,2,512kB,0.569403
64,2,32,8,32kB,2,1MB,0.588446
65,2,32,8,32kB,2,2MB,0.628508
66,2,32,8,32kB,4,512kB,0.569419
67,2,32,8,32kB,4,1MB,0.588258
68,2,32,8,32kB,4,2MB,0.628508
69,2,32,8,32kB,8,512kB,0.569363
70,2,32,8,32kB,8,1MB,0.588088
71,2,32,8,32kB,8,2MB,0.628508
72,2,32,8,64kB,2,512kB,0.571612
73,2,32,8,64kB,2,1MB,0.589691
74,2,32,8,64kB,2,2MB,0.628533
75,2,32,8,64kB,4,512kB,0.571794
76,2,32,8,64kB,4,1MB,0.58965
77,2,32,8,64kB,4,2MB,0.628533
78,2,32,8,64kB,8,512kB,0.57131
79,2,32,8,64kB,8,1MB,0.589143
80,2,32,8,64kB,8,2MB,0.628533
81,2,64,2,16kB,2,512kB,0.525437
82,2,64,2,16kB,2,1MB,0.571991
83,2,64,2,16kB,2,2MB,0.623587
84,2,64,2,16kB,4,512kB,0.525162
85,2,64,2,16kB,4,1MB,0.57164
86,2,64,2,16kB,4,2MB,0.623587
87,2,64,2,16kB,8,512kB,0.525145
88,2,64,2,16kB,8,1MB,0.57155
89,2,64,2,16kB,8,2MB,0.623587
90,2,64,2,32kB,2,512kB,0.527406
91,2,64,2,32kB,2,1MB,0.574106
92,2,64,2,32kB,2,2MB,0.623587
93,2,64,2,32kB,4,512kB,0.527109
94,2,64,2,32kB,4,1MB,0.573646
95,2,64,2,32kB,4,2MB,0.623587
96,2,64,2,32kB,8,512kB,0.526347
97,2,64,2,32kB,8,1MB,0.573037
98,2,64,2,32kB,8,2MB,0.623587
99,2,64,2,64kB,2,512kB,0.529982
100,2,64,2,64kB,2,1MB,0.576565
101,2,64,2,64kB,2,2MB,0.623587
102,2,64,2,64kB,4,512kB,0.529518
103,2,64,2,64kB,4,1MB,0.575897
104,2,64,2,64kB,4,2MB,0.623587
105,2,64,2,64kB,8,512kB,0.528469
106,2,64,2,64kB,8,1MB,0.574822
