config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
0,2,32,2,16kB,2,512kB,0.473365
1,2,32,2,16kB,2,1MB,0.529719
2,2,32,2,16kB,2,2MB,0.599599
3,2,32,2,16kB,4,512kB,0.473479
4,2,32,2,16kB,4,1MB,0.529425
5,2,32,2,16kB,4,2MB,0.599599
6,2,32,2,16kB,8,512kB,0.473415
7,2,32,2,16kB,8,1MB,0.529448
8,2,32,2,16kB,8,2MB,0.599599
9,2,32,2,32kB,2,512kB,0.474529
10,2,32,2,32kB,2,1MB,0.530142
11,2,32,2,32kB,2,2MB,0.599618
12,2,32,2,32kB,4,512kB,0.47458
13,2,32,2,32kB,4,1MB,0.530204
14,2,32,2,32kB,4,2MB,0.599616
15,2,32,2,32kB,8,512kB,0.474359
16,2,32,2,32kB,8,1MB,0.530032
17,2,32,2,32kB,8,2MB,0.599616
18,2,32,2,64kB,2,512kB,0.475924
19,2,32,2,64kB,2,1MB,0.531799
20,2,32,2,64kB,2,2MB,0.599662
21,2,32,2,64kB,4,512kB,0.475805
22,2,32,2,64kB,4,1MB,0.531683
23,2,32,2,64kB,4,2MB,0.599662
24,2,32,2,64kB,8,512kB,0.475524
25,2,32,2,64kB,8,1MB,0.531639
26,2,32,2,64kB,8,2MB,0.599662
27,2,32,4,16kB,2,512kB,0.473526
28,2,32,4,16kB,2,1MB,0.529602
29,2,32,4,16kB,2,2MB,0.599599
30,2,32,4,16kB,4,512kB,0.473784
31,2,32,4,16kB,4,1MB,0.529657
32,2,32,4,16kB,4,2MB,0.59968
33,2,32,4,16kB,8,512kB,0.473612
34,2,32,4,16kB,8,1MB,0.529697
35,2,32,4,16kB,8,2MB,0.59968
36,2,32,4,32kB,2,512kB,0.474689
37,2,32,4,32kB,2,1MB,0.530371
38,2,32,4,32kB,2,2MB,0.599683
39,2,32,4,32kB,4,512kB,0.474667
40,2,32,4,32kB,4,1MB,0.530303
41,2,32,4,32kB,4,2MB,0.599683
42,2,32,4,32kB,8,512kB,0.474635
43,2,32,4,32kB,8,1MB,0.530311
44,2,32,4,32kB,8,2MB,0.599683
45,2,32,4,64kB,2,512kB,0.47595
46,2,32,4,64kB,2,1MB,0.531821
47,2,32,4,64kB,2,2MB,0.599889
48,2,32,4,64kB,4,512kB,0.475819
49,2,32,4,64kB,4,1MB,0.531705
50,2,32,4,64kB,4,2MB,0.599885
51,2,32,4,64kB,8,512kB,0.475545
52,2,32,4,64kB,8,1MB,0.531661
53,2,32,4,64kB,8,2MB,0.599882
54,2,32,8,16kB,2,512kB,0.473526
55,2,32,8,16kB,2,1MB,0.529602
56,2,32,8,16kB,2,2MB,0.599599
57,2,32,8,16kB,4,512kB,0.473784
58,2,32,8,16kB,4,1MB,0.529657
59,2,32,8,16kB,4,2MB,0.59968
60,2,32,8,16kB,8,512kB,0.473612
61,2,32,8,16kB,8,1MB,0.529697
62,2,32,8,16kB,8,2MB,0.59968
63,2,32,8,32kB,2,512kB,0.474689
64,2,32,8,32kB,2,1MB,0.530371
65,2,32,8,32kB,2,2MB,0.599683
66,2,32,8,32kB,4,512kB,0.474667
67,2,32,8,32kB,4,1MB,0.530303
68,2,32,8,32kB,4,2MB,0.599683
69,2,32,8,32kB,8,512kB,0.474635
70,2,32,8,32kB,8,1MB,0.530311
71,2,32,8,32kB,8,2MB,0.599683
72,2,32,8,64kB,2,512kB,0.47595
73,2,32,8,64kB,2,1MB,0.531821
74,2,32,8,64kB,2,2MB,0.599889
75,2,32,8,64kB,4,512kB,0.475819
76,2,32,8,64kB,4,1MB,0.531705
77,2,32,8,64kB,4,2MB,0.599885
78,2,32,8,64kB,8,512kB,0.475545
79,2,32,8,64kB,8,1MB,0.531661
80,2,32,8,64kB,8,2MB,0.599882
81,2,64,2,16kB,2,512kB,0.475104
82,2,64,2,16kB,2,1MB,0.531659
83,2,64,2,16kB,2,2MB,0.602079
84,2,64,2,16kB,4,512kB,0.475104
85,2,64,2,16kB,4,1MB,0.531699
86,2,64,2,16kB,4,2MB,0.602079
87,2,64,2,16kB,8,512kB,0.47503
88,2,64,2,16kB,8,1MB,0.531699
89,2,64,2,16kB,8,2MB,0.602079
90,2,64,2,32kB,2,512kB,0.475963
91,2,64,2,32kB,2,1MB,0.532449
92,2,64,2,32kB,2,2MB,0.602082
93,2,64,2,32kB,4,512kB,0.47613
94,2,64,2,32kB,4,1MB,0.53258
95,2,64,2,32kB,4,2MB,0.602079
96,2,64,2,32kB,8,512kB,0.475963
97,2,64,2,32kB,8,1MB,0.532374
98,2,64,2,32kB,8,2MB,0.602079
99,2,64,2,64kB,2,512kB,0.477388
100,2,64,2,64kB,2,1MB,0.533799
101,2,64,2,64kB,2,2MB,0.602157
102,2,64,2,64kB,4,512kB,0.477238
103,2,64,2,64kB,4,1MB,0.533584
104,2,64,2,64kB,4,2MB,0.602155
105,2,64,2,64kB,8,512kB,0.477054
106,2,64,2,64kB,8,1MB,0.533597
107,2,64,2,64kB,8,2MB,0.602136
108,2,64,4,16kB,2,512kB,0.475139
109,2,64,4,16kB,2,1MB,0.531717
110,2,64,4,16kB,2,2MB,0.60211
111,2,64,4,16kB,4,512kB,0.475139
112,2,64,4,16kB,4,1MB,0.531758
113,2,64,4,16kB,4,2MB,0.60211
114,2,64,4,16kB,8,512kB,0.475065
115,2,64,4,16kB,8,1MB,0.531758
116,2,64,4,16kB,8,2MB,0.60211
117,2,64,4,32kB,2,512kB,0.476025
118,2,64,4,32kB,2,1MB,0.532485
119,2,64,4,32kB,2,2MB,0.602112
120,2,64,4,32kB,4,512kB,0.476167
121,2,64,4,32kB,4,1MB,0.532645
