core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc,config_id,cost,is_feasible
DerivO3CPU,2,32,2,16kB,2,512kB,0.52373,0,686.4,True
DerivO3CPU,2,32,2,16kB,2,1MB,0.569712,1,1198.4,True
DerivO3CPU,2,32,2,16kB,2,2MB,0.620885,2,2222.4,False
DerivO3CPU,2,32,2,16kB,4,512kB,0.523238,3,686.8,True
DerivO3CPU,2,32,2,16kB,4,1MB,0.569863,4,1198.8,True
DerivO3CPU,2,32,2,16kB,4,2MB,0.620996,5,2222.8,False
DerivO3CPU,2,32,2,16kB,8,512kB,0.523182,6,687.6,True
DerivO3CPU,2,32,2,16kB,8,1MB,0.569741,7,1199.6,True
DerivO3CPU,2,32,2,16kB,8,2MB,0.620996,8,2223.6,False
DerivO3CPU,2,32,2,32kB,2,512kB,0.524976,9,702.8,True
DerivO3CPU,2,32,2,32kB,2,1MB,0.571645,10,1214.8,True
DerivO3CPU,2,32,2,32kB,2,2MB,0.620996,11,2238.8,False
DerivO3CPU,2,32,2,32kB,4,512kB,0.524633,12,703.6,True
DerivO3CPU,2,32,2,32kB,4,1MB,0.571124,13,1215.6,True
DerivO3CPU,2,32,2,32kB,4,2MB,0.620996,14,2239.6,False
DerivO3CPU,2,32,2,32kB,8,512kB,0.523818,15,705.2,True
DerivO3CPU,2,32,2,32kB,8,1MB,0.570638,16,1217.2,True
DerivO3CPU,2,32,2,32kB,8,2MB,0.620996,17,2241.2,False
DerivO3CPU,2,32,2,64kB,2,512kB,0.528222,18,735.6,True
DerivO3CPU,2,32,2,64kB,2,1MB,0.57426,19,1247.6,True
DerivO3CPU,2,32,2,64kB,2,2MB,0.620996,20,2271.6,False
DerivO3CPU,2,32,2,64kB,4,512kB,0.527794,21,737.2,True
DerivO3CPU,2,32,2,64kB,4,1MB,0.57381,22,1249.2,True
DerivO3CPU,2,32,2,64kB,4,2MB,0.620996,23,2273.2,False
DerivO3CPU,2,32,2,64kB,8,512kB,0.526738,24,740.4,True
DerivO3CPU,2,32,2,64kB,8,1MB,0.572525,25,1252.4,True
DerivO3CPU,2,32,2,64kB,8,2MB,0.621048,26,2276.4,False
DerivO3CPU,2,32,4,16kB,2,512kB,0.559413,27,696.4,True
DerivO3CPU,2,32,4,16kB,2,1MB,0.58741,28,1208.4,True
DerivO3CPU,2,32,4,16kB,2,2MB,0.628043,29,2232.4,False
DerivO3CPU,2,32,4,16kB,4,512kB,0.560081,30,696.8,True
DerivO3CPU,2,32,4,16kB,4,1MB,0.587079,31,1208.8,True
DerivO3CPU,2,32,4,16kB,4,2MB,0.628059,32,2232.8,False
DerivO3CPU,2,32,4,16kB,8,512kB,0.560015,33,697.6,True
DerivO3CPU,2,32,4,16kB,8,1MB,0.587101,34,1209.6,True
DerivO3CPU,2,32,4,16kB,8,2MB,0.628059,35,2233.6,False
DerivO3CPU,2,32,4,32kB,2,512kB,0.560885,36,712.8,True
DerivO3CPU,2,32,4,32kB,2,1MB,0.588447,37,1224.8,True
DerivO3CPU,2,32,4,32kB,2,2MB,0.628059,38,2248.8,False
DerivO3CPU,2,32,4,32kB,4,512kB,0.560723,39,713.6,True
DerivO3CPU,2,32,4,32kB,4,1MB,0.588137,40,1225.6,True
DerivO3CPU,2,32,4,32kB,4,2MB,0.628059,41,2249.6,False
DerivO3CPU,2,32,4,32kB,8,512kB,0.560453,42,715.2,True
DerivO3CPU,2,32,4,32kB,8,1MB,0.588181,43,1227.2,True
DerivO3CPU,2,32,4,32kB,8,2MB,0.628059,44,2251.2,False
DerivO3CPU,2,32,4,64kB,2,512kB,0.563066,45,745.6,True
DerivO3CPU,2,32,4,64kB,2,1MB,0.58967,46,1257.6,True
DerivO3CPU,2,32,4,64kB,2,2MB,0.628081,47,2281.6,False
DerivO3CPU,2,32,4,64kB,4,512kB,0.562779,48,747.2,True
DerivO3CPU,2,32,4,64kB,4,1MB,0.589428,49,1259.2,True
DerivO3CPU,2,32,4,64kB,4,2MB,0.628079,50,2283.2,False
DerivO3CPU,2,32,4,64kB,8,512kB,0.562265,51,750.4,True
DerivO3CPU,2,32,4,64kB,8,1MB,0.589191,52,1262.4,True
DerivO3CPU,2,32,4,64kB,8,2MB,0.628108,53,2286.4,False
DerivO3CPU,2,32,8,16kB,2,512kB,0.568058,54,716.4,True
DerivO3CPU,2,32,8,16kB,2,1MB,0.587602,55,1228.4,True
DerivO3CPU,2,32,8,16kB,2,2MB,0.628471,56,2252.4,False
DerivO3CPU,2,32,8,16kB,4,512kB,0.569425,57,716.8,True
DerivO3CPU,2,32,8,16kB,4,1MB,0.587079,58,1228.8,True
DerivO3CPU,2,32,8,16kB,4,2MB,0.628508,59,2252.8,False
DerivO3CPU,2,32,8,16kB,8,512kB,0.56856,60,717.6,True
DerivO3CPU,2,32,8,16kB,8,1MB,0.587101,61,1229.6,True
DerivO3CPU,2,32,8,16kB,8,2MB,0.628508,62,2253.6,False
DerivO3CPU,2,32,8,32kB,2,512kB,0.569403,63,732.8,True
DerivO3CPU,2,32,8,32kB,2,1MB,0.588446,64,1244.8,True
DerivO3CPU,2,32,8,32kB,2,2MB,0.628508,65,2268.8,False
DerivO3CPU,2,32,8,32kB,4,512kB,0.569419,66,733.6,True
DerivO3CPU,2,32,8,32kB,4,1MB,0.588258,67,1245.6,True
DerivO3CPU,2,32,8,32kB,4,2MB,0.628508,68,2269.6,False
DerivO3CPU,2,32,8,32kB,8,512kB,0.569363,69,735.2,True
DerivO3CPU,2,32,8,32kB,8,1MB,0.588088,70,1247.2,True
DerivO3CPU,2,32,8,32kB,8,2MB,0.628508,71,2271.2,False
DerivO3CPU,2,32,8,64kB,2,512kB,0.571612,72,765.6,True
DerivO3CPU,2,32,8,64kB,2,1MB,0.589691,73,1277.6,True
DerivO3CPU,2,32,8,64kB,2,2MB,0.628533,74,2301.6,False
DerivO3CPU,2,32,8,64kB,4,512kB,0.571794,75,767.2,True
DerivO3CPU,2,32,8,64kB,4,1MB,0.58965,76,1279.2,True
DerivO3CPU,2,32,8,64kB,4,2MB,0.628533,77,2303.2,False
DerivO3CPU,2,32,8,64kB,8,512kB,0.57131,78,770.4,True
DerivO3CPU,2,32,8,64kB,8,1MB,0.589143,79,1282.4,True
