core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc_compute,config_id,cost,is_feasible,ipc_latency,ipc_concurrency
DerivO3CPU,2,32,2,16kB,2,512kB,0.886552,0,686.4,True,0.473365,0.52373
DerivO3CPU,2,32,2,16kB,2,1MB,0.886552,1,1198.4,True,0.529719,0.569712
DerivO3CPU,2,32,2,16kB,2,2MB,0.886552,2,2222.4,False,0.599599,0.620885
DerivO3CPU,2,32,2,16kB,4,512kB,0.886728,3,686.8,True,0.473479,0.523238
DerivO3CPU,2,32,2,16kB,4,1MB,0.886728,4,1198.8,True,0.529425,0.569863
DerivO3CPU,2,32,2,16kB,4,2MB,0.886728,5,2222.8,False,0.599599,0.620996
DerivO3CPU,2,32,2,16kB,8,512kB,0.886728,6,687.6,True,0.473415,0.523182
DerivO3CPU,2,32,2,16kB,8,1MB,0.886728,7,1199.6,True,0.529448,0.569741
DerivO3CPU,2,32,2,16kB,8,2MB,0.886728,8,2223.6,False,0.599599,0.620996
DerivO3CPU,2,32,2,32kB,2,512kB,0.886728,9,702.8,True,0.474529,0.524976
DerivO3CPU,2,32,2,32kB,2,1MB,0.886728,10,1214.8,True,0.530142,0.571645
DerivO3CPU,2,32,2,32kB,2,2MB,0.886728,11,2238.8,False,0.599618,0.620996
DerivO3CPU,2,32,2,32kB,4,512kB,0.886728,12,703.6,True,0.47458,0.524633
DerivO3CPU,2,32,2,32kB,4,1MB,0.886728,13,1215.6,True,0.530204,0.571124
DerivO3CPU,2,32,2,32kB,4,2MB,0.886728,14,2239.6,False,0.599616,0.620996
DerivO3CPU,2,32,2,32kB,8,512kB,0.886728,15,705.2,True,0.474359,0.523818
DerivO3CPU,2,32,2,32kB,8,1MB,0.886728,16,1217.2,True,0.530032,0.570638
DerivO3CPU,2,32,2,32kB,8,2MB,0.886728,17,2241.2,False,0.599616,0.620996
DerivO3CPU,2,32,2,64kB,2,512kB,0.886805,18,735.6,True,0.475924,0.528222
DerivO3CPU,2,32,2,64kB,2,1MB,0.886805,19,1247.6,True,0.531799,0.57426
DerivO3CPU,2,32,2,64kB,2,2MB,0.886805,20,2271.6,False,0.599662,0.620996
DerivO3CPU,2,32,2,64kB,4,512kB,0.886805,21,737.2,True,0.475805,0.527794
DerivO3CPU,2,32,2,64kB,4,1MB,0.886805,22,1249.2,True,0.531683,0.57381
DerivO3CPU,2,32,2,64kB,4,2MB,0.886805,23,2273.2,False,0.599662,0.620996
DerivO3CPU,2,32,2,64kB,8,512kB,0.886805,24,740.4,True,0.475524,0.526738
