config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
0,16kB,2,512kB,2,0.161662
1,16kB,2,512kB,4,0.161662
2,16kB,2,512kB,8,0.161662
3,16kB,2,512kB,16,0.161662
4,16kB,2,1MB,2,0.161662
5,16kB,2,1MB,4,0.161662
6,16kB,2,1MB,8,0.161662
7,16kB,2,1MB,16,0.161662
8,16kB,2,2MB,2,0.161662
9,16kB,2,2MB,4,0.161662
10,16kB,2,2MB,8,0.161662
11,16kB,2,2MB,16,0.161662
12,16kB,2,4MB,2,0.161662
13,16kB,2,4MB,4,0.161662
14,16kB,2,4MB,8,0.161662
15,16kB,2,4MB,16,0.161662
16,16kB,4,512kB,2,0.16181
17,16kB,4,512kB,4,0.16181
18,16kB,4,512kB,8,0.16181
19,16kB,4,512kB,16,0.16181
20,16kB,4,1MB,2,0.16181
21,16kB,4,1MB,4,0.16181
22,16kB,4,1MB,8,0.16181
23,16kB,4,1MB,16,0.16181
24,16kB,4,2MB,2,0.16181
25,16kB,4,2MB,4,0.16181
26,16kB,4,2MB,8,0.16181
27,16kB,4,2MB,16,0.16181
28,16kB,4,4MB,2,0.16181
29,16kB,4,4MB,4,0.16181
30,16kB,4,4MB,8,0.16181
31,16kB,4,4MB,16,0.16181
32,16kB,8,512kB,2,0.164581
33,16kB,8,512kB,4,0.164581
34,16kB,8,512kB,8,0.164581
35,16kB,8,512kB,16,0.164581
36,16kB,8,1MB,2,0.164581
37,16kB,8,1MB,4,0.164581
38,16kB,8,1MB,8,0.164581
39,16kB,8,1MB,16,0.164581
40,16kB,8,2MB,2,0.164581
41,16kB,8,2MB,4,0.164581
42,16kB,8,2MB,8,0.164581
43,16kB,8,2MB,16,0.164581
44,16kB,8,4MB,2,0.164581
45,16kB,8,4MB,4,0.164581
46,16kB,8,4MB,8,0.164581
47,16kB,8,4MB,16,0.164581
48,16kB,16,512kB,2,0.588505
49,16kB,16,512kB,4,0.588505
50,16kB,16,512kB,8,0.588505
51,16kB,16,512kB,16,0.588505
52,16kB,16,1MB,2,0.588505
53,16kB,16,1MB,4,0.588505
54,16kB,16,1MB,8,0.588505
55,16kB,16,1MB,16,0.588505
56,16kB,16,2MB,2,0.588505
57,16kB,16,2MB,4,0.588505
58,16kB,16,2MB,8,0.588505
59,16kB,16,2MB,16,0.588505
60,16kB,16,4MB,2,0.588505
61,16kB,16,4MB,4,0.588505
62,16kB,16,4MB,8,0.588505
63,16kB,16,4MB,16,0.588505
64,32kB,2,512kB,2,0.161617
65,32kB,2,512kB,4,0.161617
66,32kB,2,512kB,8,0.161617
67,32kB,2,512kB,16,0.161617
68,32kB,2,1MB,2,0.161617
69,32kB,2,1MB,4,0.161617
70,32kB,2,1MB,8,0.161617
71,32kB,2,1MB,16,0.161617
72,32kB,2,2MB,2,0.161617
73,32kB,2,2MB,4,0.161617
74,32kB,2,2MB,8,0.161617
75,32kB,2,2MB,16,0.161617
76,32kB,2,4MB,2,0.161617
77,32kB,2,4MB,4,0.161617
78,32kB,2,4MB,8,0.161617
79,32kB,2,4MB,16,0.161617
80,32kB,4,512kB,2,0.161683
81,32kB,4,512kB,4,0.161683
82,32kB,4,512kB,8,0.161683
83,32kB,4,512kB,16,0.161683
84,32kB,4,1MB,2,0.161683
85,32kB,4,1MB,4,0.161683
86,32kB,4,1MB,8,0.161683
87,32kB,4,1MB,16,0.161683
88,32kB,4,2MB,2,0.161683
89,32kB,4,2MB,4,0.161683
90,32kB,4,2MB,8,0.161683
91,32kB,4,2MB,16,0.161683
92,32kB,4,4MB,2,0.161683
93,32kB,4,4MB,4,0.161683
94,32kB,4,4MB,8,0.161683
95,32kB,4,4MB,16,0.161683
96,32kB,8,512kB,2,0.164581
97,32kB,8,512kB,4,0.164581
98,32kB,8,512kB,8,0.164581
99,32kB,8,512kB,16,0.164581
