config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
0,16kB,2,512kB,2,0.483482
1,16kB,2,512kB,4,0.483533
2,16kB,2,512kB,8,0.48359
3,16kB,2,512kB,16,0.483606
4,16kB,2,1MB,2,0.551915
5,16kB,2,1MB,4,0.551978
6,16kB,2,1MB,8,0.552045
7,16kB,2,1MB,16,0.552081
8,16kB,2,2MB,2,0.641048
9,16kB,2,2MB,4,0.641154
10,16kB,2,2MB,8,0.641154
11,16kB,2,2MB,16,0.641154
12,16kB,2,4MB,2,0.641154
13,16kB,2,4MB,4,0.641154
14,16kB,2,4MB,8,0.641154
15,16kB,2,4MB,16,0.641154
16,16kB,4,512kB,2,0.483439
17,16kB,4,512kB,4,0.483411
18,16kB,4,512kB,8,0.483444
19,16kB,4,512kB,16,0.483935
20,16kB,4,1MB,2,0.55193
21,16kB,4,1MB,4,0.552122
22,16kB,4,1MB,8,0.552122
23,16kB,4,1MB,16,0.552159
24,16kB,4,2MB,2,0.641154
25,16kB,4,2MB,4,0.641418
26,16kB,4,2MB,8,0.641418
27,16kB,4,2MB,16,0.641418
28,16kB,4,4MB,2,0.641418
29,16kB,4,4MB,4,0.641418
30,16kB,4,4MB,8,0.641418
31,16kB,4,4MB,16,0.641418
32,16kB,8,512kB,2,0.483435
33,16kB,8,512kB,4,0.483444
34,16kB,8,512kB,8,0.483494
35,16kB,8,512kB,16,0.483789
36,16kB,8,1MB,2,0.552046
37,16kB,8,1MB,4,0.552099
38,16kB,8,1MB,8,0.552122
39,16kB,8,1MB,16,0.552081
40,16kB,8,2MB,2,0.641154
41,16kB,8,2MB,4,0.641418
42,16kB,8,2MB,8,0.641418
43,16kB,8,2MB,16,0.641418
44,16kB,8,4MB,2,0.641418
45,16kB,8,4MB,4,0.641418
46,16kB,8,4MB,8,0.641418
47,16kB,8,4MB,16,0.641418
48,16kB,16,512kB,2,0.483458
49,16kB,16,512kB,4,0.483444
50,16kB,16,512kB,8,0.483468
51,16kB,16,512kB,16,0.483935
52,16kB,16,1MB,2,0.552008
53,16kB,16,1MB,4,0.552081
54,16kB,16,1MB,8,0.55217
55,16kB,16,1MB,16,0.551988
56,16kB,16,2MB,2,0.641154
57,16kB,16,2MB,4,0.641418
58,16kB,16,2MB,8,0.641418
59,16kB,16,2MB,16,0.641418
60,16kB,16,4MB,2,0.641418
61,16kB,16,4MB,4,0.641418
62,16kB,16,4MB,8,0.641418
63,16kB,16,4MB,16,0.641418
64,32kB,2,512kB,2,0.484122
65,32kB,2,512kB,4,0.484099
66,32kB,2,512kB,8,0.48463
67,32kB,2,512kB,16,0.48489
68,32kB,2,1MB,2,0.552331
69,32kB,2,1MB,4,0.552397
70,32kB,2,1MB,8,0.552344
71,32kB,2,1MB,16,0.552791
72,32kB,2,2MB,2,0.641292
73,32kB,2,2MB,4,0.641435
74,32kB,2,2MB,8,0.641435
75,32kB,2,2MB,16,0.641435
76,32kB,2,4MB,2,0.641435
77,32kB,2,4MB,4,0.641435
78,32kB,2,4MB,8,0.641435
79,32kB,2,4MB,16,0.641435
80,32kB,4,512kB,2,0.484099
81,32kB,4,512kB,4,0.484122
82,32kB,4,512kB,8,0.484641
83,32kB,4,512kB,16,0.48489
84,32kB,4,1MB,2,0.552428
85,32kB,4,1MB,4,0.552413
86,32kB,4,1MB,8,0.552361
87,32kB,4,1MB,16,0.55282
88,32kB,4,2MB,2,0.641154
89,32kB,4,2MB,4,0.64143
90,32kB,4,2MB,8,0.64143
91,32kB,4,2MB,16,0.64143
92,32kB,4,4MB,2,0.64143
93,32kB,4,4MB,4,0.64143
94,32kB,4,4MB,8,0.64143
95,32kB,4,4MB,16,0.64143
96,32kB,8,512kB,2,0.484055
97,32kB,8,512kB,4,0.484205
98,32kB,8,512kB,8,0.484641
99,32kB,8,512kB,16,0.484804
100,32kB,8,1MB,2,0.552144
101,32kB,8,1MB,4,0.552203
102,32kB,8,1MB,8,0.552185
103,32kB,8,1MB,16,0.55282
104,32kB,8,2MB,2,0.641154
105,32kB,8,2MB,4,0.64143
106,32kB,8,2MB,8,0.64143
107,32kB,8,2MB,16,0.64143
108,32kB,8,4MB,2,0.64143
109,32kB,8,4MB,4,0.64143
110,32kB,8,4MB,8,0.64143
111,32kB,8,4MB,16,0.64143
112,32kB,16,512kB,2,0.483944
113,32kB,16,512kB,4,0.484082
114,32kB,16,512kB,8,0.484649
115,32kB,16,512kB,16,0.484781
116,32kB,16,1MB,2,0.552203
117,32kB,16,1MB,4,0.552144
118,32kB,16,1MB,8,0.552065
119,32kB,16,1MB,16,0.552599
120,32kB,16,2MB,2,0.641154
121,32kB,16,2MB,4,0.64143
122,32kB,16,2MB,8,0.64143
123,32kB,16,2MB,16,0.64143
