issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,32,2,16kB,2,True,512kB,0.886552,0,686.4,True
2,32,2,16kB,2,True,1MB,0.886552,1,1198.4,True
2,32,2,16kB,2,True,2MB,0.886552,2,2222.4,False
2,32,2,16kB,4,True,512kB,0.886728,3,686.8,True
2,32,2,16kB,4,True,1MB,0.886728,4,1198.8,True
2,32,2,16kB,4,True,2MB,0.886728,5,2222.8,False
2,32,2,16kB,8,True,512kB,0.886728,6,687.6,True
2,32,2,16kB,8,True,1MB,0.886728,7,1199.6,True
2,32,2,16kB,8,True,2MB,0.886728,8,2223.6,False
2,32,2,32kB,2,True,512kB,0.886728,9,702.8,True
2,32,2,32kB,2,True,1MB,0.886728,10,1214.8,True
2,32,2,32kB,2,True,2MB,0.886728,11,2238.8,False
2,32,2,32kB,4,True,512kB,0.886728,12,703.6,True
2,32,2,32kB,4,True,1MB,0.886728,13,1215.6,True
2,32,2,32kB,4,True,2MB,0.886728,14,2239.6,False
2,32,2,32kB,8,True,512kB,0.886728,15,705.2,True
2,32,2,32kB,8,True,1MB,0.886728,16,1217.2,True
2,32,2,32kB,8,True,2MB,0.886728,17,2241.2,False
2,32,2,64kB,2,True,512kB,0.886805,18,735.6,True
2,32,2,64kB,2,True,1MB,0.886805,19,1247.6,True
2,32,2,64kB,2,True,2MB,0.886805,20,2271.6,False
2,32,2,64kB,4,True,512kB,0.886805,21,737.2,True
2,32,2,64kB,4,True,1MB,0.886805,22,1249.2,True
2,32,2,64kB,4,True,2MB,0.886805,23,2273.2,False
2,32,2,64kB,8,True,512kB,0.886805,24,740.4,True
2,32,2,64kB,8,True,1MB,0.886805,25,1252.4,True
2,32,2,64kB,8,True,2MB,0.886805,26,2276.4,False
2,32,4,16kB,2,True,512kB,0.886728,27,696.4,True
2,32,4,16kB,2,True,1MB,0.886728,28,1208.4,True
2,32,4,16kB,2,True,2MB,0.886728,29,2232.4,False
2,32,4,16kB,4,True,512kB,0.886964,30,696.8,True
2,32,4,16kB,4,True,1MB,0.886964,31,1208.8,True
2,32,4,16kB,4,True,2MB,0.886964,32,2232.8,False
2,32,4,16kB,8,True,512kB,0.886964,33,697.6,True
2,32,4,16kB,8,True,1MB,0.886964,34,1209.6,True
2,32,4,16kB,8,True,2MB,0.886964,35,2233.6,False
2,32,4,32kB,2,True,512kB,0.886964,36,712.8,True
2,32,4,32kB,2,True,1MB,0.886964,37,1224.8,True
2,32,4,32kB,2,True,2MB,0.886964,38,2248.8,False
2,32,4,32kB,4,True,512kB,0.886964,39,713.6,True
2,32,4,32kB,4,True,1MB,0.886964,40,1225.6,True
2,32,4,32kB,4,True,2MB,0.886964,41,2249.6,False
2,32,4,32kB,8,True,512kB,0.886964,42,715.2,True
2,32,4,32kB,8,True,1MB,0.886964,43,1227.2,True
2,32,4,32kB,8,True,2MB,0.886964,44,2251.2,False
2,32,4,64kB,2,True,512kB,0.8871,45,745.6,True
2,32,4,64kB,2,True,1MB,0.8871,46,1257.6,True
