issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,32,2,16kB,2,True,512kB,0.473365,0,686.4,True
2,32,2,16kB,2,True,1MB,0.529719,1,1198.4,True
2,32,2,16kB,2,True,2MB,0.599599,2,2222.4,False
2,32,2,16kB,4,True,512kB,0.473479,3,686.8,True
2,32,2,16kB,4,True,1MB,0.529425,4,1198.8,True
2,32,2,16kB,4,True,2MB,0.599599,5,2222.8,False
2,32,2,16kB,8,True,512kB,0.473415,6,687.6,True
2,32,2,16kB,8,True,1MB,0.529448,7,1199.6,True
2,32,2,16kB,8,True,2MB,0.599599,8,2223.6,False
2,32,2,32kB,2,True,512kB,0.474529,9,702.8,True
2,32,2,32kB,2,True,1MB,0.530142,10,1214.8,True
2,32,2,32kB,2,True,2MB,0.599618,11,2238.8,False
2,32,2,32kB,4,True,512kB,0.47458,12,703.6,True
2,32,2,32kB,4,True,1MB,0.530204,13,1215.6,True
2,32,2,32kB,4,True,2MB,0.599616,14,2239.6,False
2,32,2,32kB,8,True,512kB,0.474359,15,705.2,True
2,32,2,32kB,8,True,1MB,0.530032,16,1217.2,True
2,32,2,32kB,8,True,2MB,0.599616,17,2241.2,False
2,32,2,64kB,2,True,512kB,0.475924,18,735.6,True
2,32,2,64kB,2,True,1MB,0.531799,19,1247.6,True
2,32,2,64kB,2,True,2MB,0.599662,20,2271.6,False
2,32,2,64kB,4,True,512kB,0.475805,21,737.2,True
2,32,2,64kB,4,True,1MB,0.531683,22,1249.2,True
2,32,2,64kB,4,True,2MB,0.599662,23,2273.2,False
2,32,2,64kB,8,True,512kB,0.475524,24,740.4,True
2,32,2,64kB,8,True,1MB,0.531639,25,1252.4,True
2,32,2,64kB,8,True,2MB,0.599662,26,2276.4,False
2,32,4,16kB,2,True,512kB,0.473526,27,696.4,True
2,32,4,16kB,2,True,1MB,0.529602,28,1208.4,True
2,32,4,16kB,2,True,2MB,0.599599,29,2232.4,False
2,32,4,16kB,4,True,512kB,0.473784,30,696.8,True
2,32,4,16kB,4,True,1MB,0.529657,31,1208.8,True
2,32,4,16kB,4,True,2MB,0.59968,32,2232.8,False
2,32,4,16kB,8,True,512kB,0.473612,33,697.6,True
2,32,4,16kB,8,True,1MB,0.529697,34,1209.6,True
2,32,4,16kB,8,True,2MB,0.59968,35,2233.6,False
2,32,4,32kB,2,True,512kB,0.474689,36,712.8,True
2,32,4,32kB,2,True,1MB,0.530371,37,1224.8,True
2,32,4,32kB,2,True,2MB,0.599683,38,2248.8,False
2,32,4,32kB,4,True,512kB,0.474667,39,713.6,True
2,32,4,32kB,4,True,1MB,0.530303,40,1225.6,True
2,32,4,32kB,4,True,2MB,0.599683,41,2249.6,False
