config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
0,16kB,2,512kB,2,0.595867
1,16kB,2,512kB,4,0.596692
2,16kB,2,512kB,8,0.596194
3,16kB,2,512kB,16,0.596178
4,16kB,2,1MB,2,0.630397
5,16kB,2,1MB,4,0.630397
6,16kB,2,1MB,8,0.630397
7,16kB,2,1MB,16,0.629958
8,16kB,2,2MB,2,0.66763
9,16kB,2,2MB,4,0.667783
10,16kB,2,2MB,8,0.667783
11,16kB,2,2MB,16,0.667783
12,16kB,2,4MB,2,0.667783
13,16kB,2,4MB,4,0.667783
14,16kB,2,4MB,8,0.667783
15,16kB,2,4MB,16,0.667783
16,16kB,4,512kB,2,0.598971
17,16kB,4,512kB,4,0.598971
18,16kB,4,512kB,8,0.598914
19,16kB,4,512kB,16,0.599081
20,16kB,4,1MB,2,0.633176
21,16kB,4,1MB,4,0.633176
22,16kB,4,1MB,8,0.633176
23,16kB,4,1MB,16,0.633176
24,16kB,4,2MB,2,0.671815
25,16kB,4,2MB,4,0.671866
26,16kB,4,2MB,8,0.671866
27,16kB,4,2MB,16,0.671866
28,16kB,4,4MB,2,0.671866
29,16kB,4,4MB,4,0.671866
30,16kB,4,4MB,8,0.671866
31,16kB,4,4MB,16,0.671866
32,16kB,8,512kB,2,0.598971
33,16kB,8,512kB,4,0.598971
34,16kB,8,512kB,8,0.598939
35,16kB,8,512kB,16,0.598971
36,16kB,8,1MB,2,0.633203
37,16kB,8,1MB,4,0.63315
38,16kB,8,1MB,8,0.633203
39,16kB,8,1MB,16,0.633203
40,16kB,8,2MB,2,0.671815
41,16kB,8,2MB,4,0.671866
42,16kB,8,2MB,8,0.671866
43,16kB,8,2MB,16,0.671866
44,16kB,8,4MB,2,0.671866
45,16kB,8,4MB,4,0.671866
46,16kB,8,4MB,8,0.671866
47,16kB,8,4MB,16,0.671866
48,16kB,16,512kB,2,0.598939
49,16kB,16,512kB,4,0.598971
50,16kB,16,512kB,8,0.598892
51,16kB,16,512kB,16,0.598939
52,16kB,16,1MB,2,0.633203
53,16kB,16,1MB,4,0.633203
54,16kB,16,1MB,8,0.633203
55,16kB,16,1MB,16,0.633203
56,16kB,16,2MB,2,0.671815
57,16kB,16,2MB,4,0.671866
58,16kB,16,2MB,8,0.671866
59,16kB,16,2MB,16,0.671866
60,16kB,16,4MB,2,0.671866
61,16kB,16,4MB,4,0.671866
62,16kB,16,4MB,8,0.671866
63,16kB,16,4MB,16,0.671866
64,32kB,2,512kB,2,0.596841
65,32kB,2,512kB,4,0.596881
66,32kB,2,512kB,8,0.596692
67,32kB,2,512kB,16,0.597467
68,32kB,2,1MB,2,0.631912
69,32kB,2,1MB,4,0.631373
70,32kB,2,1MB,8,0.631178
71,32kB,2,1MB,16,0.631455
72,32kB,2,2MB,2,0.668292
73,32kB,2,2MB,4,0.668435
74,32kB,2,2MB,8,0.668435
75,32kB,2,2MB,16,0.668435
76,32kB,2,4MB,2,0.668435
77,32kB,2,4MB,4,0.668435
78,32kB,2,4MB,8,0.668435
79,32kB,2,4MB,16,0.668435
80,32kB,4,512kB,2,0.600659
81,32kB,4,512kB,4,0.600659
82,32kB,4,512kB,8,0.600616
83,32kB,4,512kB,16,0.600659
84,32kB,4,1MB,2,0.635164
85,32kB,4,1MB,4,0.635133
86,32kB,4,1MB,8,0.635098
87,32kB,4,1MB,16,0.634476
88,32kB,4,2MB,2,0.672235
89,32kB,4,2MB,4,0.67238
90,32kB,4,2MB,8,0.67238
91,32kB,4,2MB,16,0.67238
92,32kB,4,4MB,2,0.67238
93,32kB,4,4MB,4,0.67238
94,32kB,4,4MB,8,0.67238
95,32kB,4,4MB,16,0.67238
96,32kB,8,512kB,2,0.600654
97,32kB,8,512kB,4,0.600638
98,32kB,8,512kB,8,0.600423
99,32kB,8,512kB,16,0.60068
100,32kB,8,1MB,2,0.634857
101,32kB,8,1MB,4,0.634878
102,32kB,8,1MB,8,0.634878
103,32kB,8,1MB,16,0.634553
104,32kB,8,2MB,2,0.672235
105,32kB,8,2MB,4,0.67238
106,32kB,8,2MB,8,0.67238
107,32kB,8,2MB,16,0.67238
108,32kB,8,4MB,2,0.67238
109,32kB,8,4MB,4,0.67238
110,32kB,8,4MB,8,0.67238
111,32kB,8,4MB,16,0.67238
112,32kB,16,512kB,2,0.600554
113,32kB,16,512kB,4,0.600571
114,32kB,16,512kB,8,0.600507
115,32kB,16,512kB,16,0.600648
116,32kB,16,1MB,2,0.634918
117,32kB,16,1MB,4,0.634878
118,32kB,16,1MB,8,0.634807
119,32kB,16,1MB,16,0.63461
120,32kB,16,2MB,2,0.672235
121,32kB,16,2MB,4,0.67238
122,32kB,16,2MB,8,0.67238
123,32kB,16,2MB,16,0.67238
124,32kB,16,4MB,2,0.67238
125,32kB,16,4MB,4,0.67238
126,32kB,16,4MB,8,0.67238
127,32kB,16,4MB,16,0.67238
128,64kB,2,512kB,2,0.604396
129,64kB,2,512kB,4,0.604517
130,64kB,2,512kB,8,0.604325
131,64kB,2,512kB,16,0.605802
132,64kB,2,1MB,2,0.638622
133,64kB,2,1MB,4,0.639051
134,64kB,2,1MB,8,0.638955
135,64kB,2,1MB,16,0.638839
136,64kB,2,2MB,2,0.674239
137,64kB,2,2MB,4,0.674362
138,64kB,2,2MB,8,0.674362
139,64kB,2,2MB,16,0.674362
140,64kB,2,4MB,2,0.674362
141,64kB,2,4MB,4,0.674362
142,64kB,2,4MB,8,0.674362
143,64kB,2,4MB,16,0.674362
144,64kB,4,512kB,2,0.605125
145,64kB,4,512kB,4,0.604892
146,64kB,4,512kB,8,0.604875
147,64kB,4,512kB,16,0.605182
148,64kB,4,1MB,2,0.638358
149,64kB,4,1MB,4,0.638649
150,64kB,4,1MB,8,0.638495
151,64kB,4,1MB,16,0.638365
152,64kB,4,2MB,2,0.674234
153,64kB,4,2MB,4,0.674356
154,64kB,4,2MB,8,0.674356
155,64kB,4,2MB,16,0.674356
156,64kB,4,4MB,2,0.674356
157,64kB,4,4MB,4,0.674356
158,64kB,4,4MB,8,0.674356
159,64kB,4,4MB,16,0.674356
160,64kB,8,512kB,2,0.604775
161,64kB,8,512kB,4,0.604666
162,64kB,8,512kB,8,0.604491
163,64kB,8,512kB,16,0.604875
164,64kB,8,1MB,2,0.638236
165,64kB,8,1MB,4,0.638331
166,64kB,8,1MB,8,0.638331
